District,Winner,Total_Votes,Ko_Wu,Ko_Wu_Pct,Lai_Hsiao,Lai_Hsiao_Pct,Hou_Chao,Hou_Chao_Pct,Total_Population,Age_0_14,Age_0_14_Pct,Age_15_64,Age_15_64_Pct,Age_65_Plus,Age_65_Plus_Pct,Income,Disposable_Income,Consumption,Households,Avg_People_Per_HH,Total_15Plus,Higher_Education_Pct,Graduate_Pct,College_Pct,JuniorCollege_Pct,HighSchool_Pct,Junior_Pct,Primary_Pct,Illiterate_Pct
Taipei City,Lai_Hsiao,1542011,366854,23.79,587899,38.13,587258,38.08,4041869.0,455890.0,11.28,2853813.0,70.61,732166.0,18.11,1803192,1485461,1136637,1067481,2.71,2187844,65.72,15.25,38.23,12.24,21.97,6.24,5.69,0.39
New Taipei City,Lai_Hsiao,2458480,645105,26.24,948818,38.59,864557,35.17,2511291.0,309600.0,12.33,1646228.0,65.55,555463.0,22.12,1472606,1219151,909382,1686441,2.75,3601907,51.9,8.59,31.64,11.67,28.58,11.71,7.26,0.55
Taoyuan City,Lai_Hsiao,1350792,413528,30.61,476441,35.27,460823,34.12,2319118.0,318321.0,13.73,1649461.0,71.12,351336.0,15.15,1514458,1240719,922775,915413,2.99,2024131,51.55,8.44,32.43,10.68,30.55,10.22,7.05,0.63
Taichung City,Lai_Hsiao,1707203,513025,30.05,641622,37.58,552556,32.37,2847264.0,377523.0,13.26,2017934.0,70.87,451807.0,15.87,1427394,1171877,973022,1072458,2.82,2488030,52.67,8.98,32.45,11.24,29.31,10.02,7.37,0.64
Tainan City,Lai_Hsiao,1120238,262560,23.44,570811,50.95,286867,25.61,1859800.0,211436.0,11.37,1297702.0,69.78,350662.0,18.85,1225320,1009768,776782,732432,2.81,1650022,49.01,8.81,30.34,9.85,28.3,10.95,10.9,0.85
Kaosiung City,Lai_Hsiao,1636962,358096,21.88,800390,48.89,478476,29.23,2737530.0,305410.0,11.16,1906797.0,69.65,525323.0,19.19,1379657,1143840,878620,1157284,2.74,2431175,49.63,8.51,29.95,11.18,30.89,9.84,8.58,1.06
Yilan County,Lai_Hsiao,267129,70171,26.27,119517,44.74,77441,28.99,449767.0,50717.0,11.28,312221.0,69.42,86829.0,19.31,1116050,939611,772616,179844,2.69,399153,43.27,6.53,25.93,10.81,28.86,16.44,10.08,1.34
Hsinchu County,Hou_Chao,340310,120985,35.55,93309,27.42,126016,37.03,589788.0,91166.0,15.46,415601.0,70.47,83021.0,14.08,1868845,1481536,1130910,223787,3.14,504673,55.42,12.85,32.89,9.68,27.87,9.12,7.15,0.45
Miaoli County,Hou_Chao,318845,95637,29.99,91978,28.85,131230,41.16,534432.0,61279.0,11.47,372288.0,69.66,100865.0,18.87,1392770,1163673,790033,201016,2.99,472469,44.26,6.62,27.93,9.71,32.66,12.74,9.8,0.54
Chuanghua County,Lai_Hsiao,741368,214714,28.96,282514,38.11,244140,32.93,1237760.0,147222.0,11.89,858306.0,69.34,232232.0,18.76,1100040,917893,680430,408209,2.79,1082871,42.87,5.97,27.2,9.69,30.08,13.42,11.76,1.88
Nantou County,Hou_Chao,287296,74854,26.05,103279,35.95,109163,38.0,476675.0,48726.0,10.22,328268.0,68.87,99681.0,20.91,1048889,892163,600709,181180,2.61,424392,39.8,5.68,24.08,10.04,32.31,15.31,11.76,0.81
Yunlin County,Lai_Hsiao,380619,99470,26.13,169516,44.54,111633,29.33,659564.0,68756.0,10.42,454408.0,68.9,136400.0,20.68,1104001,939002,671112,248104,2.74,588544,38.3,5.42,24.13,8.74,30.05,15.53,14.12,2.0
Chiayi County,Lai_Hsiao,292534,67382,23.03,139510,47.69,85642,29.28,483902.0,41073.0,8.49,334170.0,69.06,108659.0,22.45,983335,836911,667369,186869,2.59,438587,36.19,4.78,22.73,8.69,30.99,15.74,15.3,1.77
Pintung County,Lai_Hsiao,475927,103028,21.65,226110,47.51,146789,30.84,794514.0,79888.0,10.05,554051.0,69.73,160575.0,20.21,1086321,907896,731275,299186,2.74,709889,39.23,5.33,23.82,10.09,35.28,12.75,11.34,1.39
Taitung County,Hou_Chao,109941,25590,23.28,30131,27.41,54220,49.32,211357.0,23172.0,10.96,147063.0,69.58,41122.0,19.46,916583,782735,561103,84948,2.41,187204,36.41,5.15,21.89,9.37,34.29,14.6,13.77,0.93
Hualien County,Hou_Chao,174157,43047,24.72,43157,24.78,87953,50.5,317252.0,35497.0,11.19,218706.0,68.94,63049.0,19.87,1070204,903665,630082,129223,2.39,280749,42.53,6.29,25.11,11.13,34.22,12.2,10.56,0.49
Penghu County,Lai_Hsiao,49277,12202,24.76,19023,38.6,18052,36.63,107745.0,10517.0,9.76,76703.0,71.19,20525.0,19.05,927834,792956,537812,43293,2.22,97547,42.53,6.5,27.36,8.67,30.0,13.39,13.11,0.96
Keelung City,Hou_Chao,218781,58195,26.6,76079,34.77,84507,38.63,362094.0,34887.0,9.63,253514.0,70.01,73693.0,20.35,1083638,919226,723538,160175,2.51,327217,46.06,6.5,27.68,11.88,33.59,11.35,8.22,0.77
Hsinchu City,Lai_Hsiao,266389,91384,34.3,92679,34.79,82326,30.9,456535.0,72290.0,15.83,316542.0,69.34,67703.0,14.83,1858010,1503646,1094975,180952,3.07,386469,59.98,16.36,34.11,9.5,24.55,8.56,6.44,0.48
Chiayi City,Lai_Hsiao,157656,39950,25.34,68199,43.26,49507,31.4,263369.0,32688.0,12.41,182074.0,69.13,48607.0,18.46,1455973,1213216,928867,103725,2.84,230077,54.71,9.47,32.39,12.85,28.35,8.32,7.85,0.77
