District,Wen Je Ko and Hsin Ying Wu,Ching Te Lai and Bi Khim Hsiao,You Yi Hou and Shiao Kung Chao
Taipei City," 366,854 "," 587,899 "," 587,258 "
New Taipei City," 645,105 "," 948,818 "," 864,557 "
Taoyuan City," 413,528 "," 476,441 "," 460,823 "
Taichung City," 513,025 "," 641,622 "," 552,556 "
Tainan City," 262,560 "," 570,811 "," 286,867 "
Kaosiung City," 358,096 "," 800,390 "," 478,476 "
Yilan County," 70,171 "," 119,517 "," 77,441 "
Hsinchu County," 120,985 "," 93,309 "," 126,016 "
Miaoli County," 95,637 "," 91,978 "," 131,230 "
Chuanghua County," 214,714 "," 282,514 "," 244,140 "
Nantou County," 74,854 "," 103,279 "," 109,163 "
Yunlin County," 99,470 "," 169,516 "," 111,633 "
Chiayi County," 67,382 "," 139,510 "," 85,642 "
Pintung County," 103,028 "," 226,110 "," 146,789 "
Taitung County," 25,590 "," 30,131 "," 54,220 "
Hualien County," 43,047 "," 43,157 "," 87,953 "
Penghu County," 12,202 "," 19,023 "," 18,052 "
Lienchiang County," 1,651 ", 648 ," 3,860 "
Kinmen County," 13,038 "," 4,569 "," 28,005 "
Keelung City," 58,195 "," 76,079 "," 84,507 "
Hsinchu City," 91,384 "," 92,679 "," 82,326 "
Chiayi City," 39,950 "," 68,199 "," 49,507 "
