District,Cluster,Cluster_Name,Winner,Age_0_14_Pct,Age_15_64_Pct,Age_65_Plus_Pct,Income,Disposable_Income,Consumption,Higher_Education_Pct,Graduate_Pct,Avg_People_Per_HH,Lai_Hsiao_Pct,Hou_Chao_Pct,Ko_Wu_Pct
Taipei City,1,Young High-Income Highly-Educated,Lai_Hsiao,11.28,70.61,18.11,1803192,1485461,1136637,65.72,15.25,2.71,38.13,38.08,23.79
New Taipei City,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,12.33,65.55,22.12,1472606,1219151,909382,51.9,8.59,2.75,38.59,35.17,26.24
Taoyuan City,1,Young High-Income Highly-Educated,Lai_Hsiao,13.73,71.12,15.15,1514458,1240719,922775,51.55,8.44,2.99,35.27,34.12,30.61
Taichung City,1,Young High-Income Highly-Educated,Lai_Hsiao,13.26,70.87,15.87,1427394,1171877,973022,52.67,8.98,2.82,37.58,32.37,30.05
Tainan City,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,11.37,69.78,18.85,1225320,1009768,776782,49.01,8.81,2.81,50.95,25.61,23.44
Kaosiung City,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,11.16,69.65,19.19,1379657,1143840,878620,49.63,8.51,2.74,48.89,29.23,21.88
Yilan County,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,11.28,69.42,19.31,1116050,939611,772616,43.27,6.53,2.69,44.74,28.99,26.27
Hsinchu County,1,Young High-Income Highly-Educated,Hou_Chao,15.46,70.47,14.08,1868845,1481536,1130910,55.42,12.85,3.14,27.42,37.03,35.55
Miaoli County,0,Aging Middle-Income Moderate-Education,Hou_Chao,11.47,69.66,18.87,1392770,1163673,790033,44.26,6.62,2.99,28.85,41.16,29.99
Chuanghua County,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,11.89,69.34,18.76,1100040,917893,680430,42.87,5.97,2.79,38.11,32.93,28.96
Nantou County,0,Aging Middle-Income Moderate-Education,Hou_Chao,10.22,68.87,20.91,1048889,892163,600709,39.8,5.68,2.61,35.95,38.0,26.05
Yunlin County,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,10.42,68.9,20.68,1104001,939002,671112,38.3,5.42,2.74,44.54,29.33,26.13
Chiayi County,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,8.49,69.06,22.45,983335,836911,667369,36.19,4.78,2.59,47.69,29.28,23.03
Pintung County,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,10.05,69.73,20.21,1086321,907896,731275,39.23,5.33,2.74,47.51,30.84,21.65
Taitung County,0,Aging Middle-Income Moderate-Education,Hou_Chao,10.96,69.58,19.46,916583,782735,561103,36.41,5.15,2.41,27.41,49.32,23.28
Hualien County,0,Aging Middle-Income Moderate-Education,Hou_Chao,11.19,68.94,19.87,1070204,903665,630082,42.53,6.29,2.39,24.78,50.5,24.72
Penghu County,0,Aging Middle-Income Moderate-Education,Lai_Hsiao,9.76,71.19,19.05,927834,792956,537812,42.53,6.5,2.22,38.6,36.63,24.76
Keelung City,0,Aging Middle-Income Moderate-Education,Hou_Chao,9.63,70.01,20.35,1083638,919226,723538,46.06,6.5,2.51,34.77,38.63,26.6
Hsinchu City,1,Young High-Income Highly-Educated,Lai_Hsiao,15.83,69.34,14.83,1858010,1503646,1094975,59.98,16.36,3.07,34.79,30.9,34.3
Chiayi City,1,Young High-Income Highly-Educated,Lai_Hsiao,12.41,69.13,18.46,1455973,1213216,928867,54.71,9.47,2.84,43.26,31.4,25.34
